PITCHER_ID,PITCHER_NAME,TEAM,STRIKEOUTS,WALKS_ALLOWED,HITS_ALLOWED,HOME_RUNS_ALLOWED,EARNED_RUNS,BATTERS_FACED,PITCH_COUNT,INNINGS,K_PER_9,BB_PER_9,HR_PER_9,ERA
805673,Zebby Matthews,minnesota twins,13,2,11,3,9,45,200,10.333333333333332,11.322580645161292,1.741935483870968,2.612903225806452,7.838709677419356
665871,Javier Assad,chicago cubs,12,6,22,3,16,88,338,20.333333333333332,5.311475409836066,2.655737704918033,1.3278688524590165,7.081967213114755
676428,Brant Hurter,detroit tigers,12,6,11,1,6,73,247,18.666666666666668,5.785714285714286,2.892857142857143,0.4821428571428571,2.892857142857143
642528,Jonathan Loáisiga,arizona diamondbacks,12,4,17,1,6,74,293,18.0,6.0,2.0,0.5,3.0
642701,Dennis Santana,pittsburgh pirates,12,10,12,2,7,77,288,18.0,6.0,5.0,1.0,3.5
641312,Shaun Anderson,los angeles angels,12,8,17,3,11,73,284,16.666666666666668,6.4799999999999995,4.319999999999999,1.6199999999999999,5.9399999999999995
676755,Isaac Mattson,pittsburgh pirates,12,9,15,0,7,72,293,16.666666666666668,6.4799999999999995,4.859999999999999,0.0,3.78
519141,Drew Pomeranz,los angeles angels,12,9,18,4,11,70,239,14.333333333333332,7.5348837209302335,5.651162790697675,2.511627906976744,6.906976744186047
680767,Victor Vodnik,colorado rockies,12,10,20,2,14,69,263,13.666666666666666,7.902439024390244,6.585365853658537,1.3170731707317074,9.219512195121952
607481,Aaron Bummer,atlanta braves,12,10,18,6,13,70,260,13.0,8.307692307692308,6.923076923076923,4.153846153846154,9.0
666974,Yennier Cano,baltimore orioles,12,2,9,1,4,50,191,13.0,8.307692307692308,1.3846153846153846,0.6923076923076923,2.769230769230769
685801,Hunter Bigge,tampa bay rays,12,8,6,1,4,54,203,13.0,8.307692307692308,5.538461538461538,0.6923076923076923,2.769230769230769
694851,Andrew Hoffmann,arizona diamondbacks,12,8,17,3,12,59,230,11.666666666666666,9.257142857142858,6.171428571428572,2.3142857142857145,9.257142857142858
573204,Caleb Thielbar,chicago cubs,12,5,9,2,3,46,201,10.666666666666666,10.125,4.21875,1.6875,2.53125
661395,Jhoan Duran,philadelphia phillies,12,3,6,0,2,34,141,8.666666666666666,12.461538461538462,3.1153846153846154,0.0,2.076923076923077
605447,Jordan Romano,los angeles angels,12,6,11,1,9,42,192,8.0,13.5,6.75,1.125,10.125
700669,Gordon Graceffo,st. louis cardinals,11,7,12,1,4,76,275,20.0,4.95,3.15,0.45,1.8
677865,Justin Bruihl,st. louis cardinals,11,11,14,1,9,84,331,19.0,5.2105263157894735,5.2105263157894735,0.47368421052631576,4.2631578947368425
643511,Tyler Rogers,toronto blue jays,11,4,12,0,3,73,237,18.666666666666668,5.303571428571428,1.9285714285714284,0.0,1.4464285714285714
700249,Cade Povich,baltimore orioles,11,5,16,3,8,68,261,16.333333333333336,6.061224489795918,2.7551020408163263,1.6530612244897958,4.408163265306122
657424,Matt Gage,san francisco giants,11,11,11,2,5,68,265,15.666666666666666,6.319148936170213,6.319148936170213,1.148936170212766,2.872340425531915
573124,Taylor Rogers,minnesota twins,11,6,18,0,8,65,246,14.333333333333334,6.906976744186046,3.7674418604651163,0.0,5.023255813953488
641941,Emilio Pagán,cincinnati reds,11,6,14,3,10,62,228,14.0,7.071428571428571,3.857142857142857,1.9285714285714286,6.428571428571429
689147,Orion Kerkering,philadelphia phillies,11,6,10,1,2,60,242,13.666666666666666,7.2439024390243905,3.951219512195122,0.6585365853658537,1.3170731707317074
666374,Matt Brash,seattle mariners,11,2,4,0,0,45,175,13.333333333333334,7.425,1.3499999999999999,0.0,0.0
683742,Jose Franco,cincinnati reds,11,10,14,2,7,59,222,12.666666666666666,7.815789473684211,7.105263157894737,1.4210526315789473,4.973684210526316
669020,Ryan Rolison,chicago cubs,11,5,7,1,3,45,179,12.333333333333332,8.027027027027028,3.648648648648649,0.7297297297297298,2.1891891891891895
663485,Cole Sands,minnesota twins,11,4,12,2,6,50,181,11.666666666666666,8.485714285714286,3.085714285714286,1.542857142857143,4.628571428571429
518886,Craig Kimbrel,new york mets,11,3,11,1,5,45,161,11.0,9.0,2.4545454545454546,0.8181818181818182,4.090909090909091
