DATE,PITCHER_ID,PITCHER_NAME,TEAM,OPP,INNINGS,STRIKEOUTS,PITCH_COUNT,SOURCE_SEASON,DATA_SOURCE,CURRENT_SEASON_GAMES
2026-04-07,676917,Cade Cavalli,,St. Louis Cardinals,4.2,3,94,2026,API_2026,12
2026-04-13,676917,Cade Cavalli,,Pittsburgh Pirates,1.1,2,48,2026,API_2026,12
2026-04-18,676917,Cade Cavalli,,San Francisco Giants,4.0,5,92,2026,API_2026,12
2026-04-23,676917,Cade Cavalli,,Atlanta Braves,5.0,10,85,2026,API_2026,12
2026-04-29,676917,Cade Cavalli,,New York Mets,6.0,10,97,2026,API_2026,12
2026-05-05,676917,Cade Cavalli,,Minnesota Twins,4.0,2,76,2026,API_2026,12
2026-05-10,676917,Cade Cavalli,,Miami Marlins,5.2,4,95,2026,API_2026,12
2026-05-16,676917,Cade Cavalli,,Baltimore Orioles,6.1,8,94,2026,API_2026,12
2026-05-21,676917,Cade Cavalli,,New York Mets,7.0,9,84,2026,API_2026,12
2026-05-26,676917,Cade Cavalli,,Cleveland Guardians,6.0,7,87,2026,API_2026,12
2026-04-04,679883,Luinder Avila,,Milwaukee Brewers,3.0,4,73,2026,API_2026,10
2026-04-08,679883,Luinder Avila,,Cleveland Guardians,3.0,2,62,2026,API_2026,10
2026-04-29,679883,Luinder Avila,,Athletics,1.0,2,20,2026,API_2026,10
2026-05-02,679883,Luinder Avila,,Seattle Mariners,2.0,1,23,2026,API_2026,10
2026-05-06,679883,Luinder Avila,,Cleveland Guardians,2.0,2,49,2026,API_2026,10
2026-05-08,679883,Luinder Avila,,Detroit Tigers,1.0,1,18,2026,API_2026,10
2026-05-12,679883,Luinder Avila,,Chicago White Sox,1.1,2,27,2026,API_2026,10
2026-05-14,679883,Luinder Avila,,Chicago White Sox,2.0,2,33,2026,API_2026,10
2026-05-19,679883,Luinder Avila,,Boston Red Sox,3.0,3,51,2026,API_2026,10
2026-05-26,679883,Luinder Avila,,New York Yankees,3.0,1,67,2026,API_2026,10
2026-05-04,680744,Ty Madden,,Boston Red Sox,5.0,7,81,2026,API_2026,3
2026-05-09,680744,Ty Madden,,Kansas City Royals,6.0,5,87,2026,API_2026,3
2026-05-15,680744,Ty Madden,,Toronto Blue Jays,0.1,0,7,2026,API_2026,3
2026-03-27,686218,Emmet Sheehan,,Arizona Diamondbacks,3.1,6,83,2026,API_2026,10
2026-04-03,686218,Emmet Sheehan,,Washington Nationals,5.2,2,98,2026,API_2026,10
2026-04-11,686218,Emmet Sheehan,,Texas Rangers,6.0,6,77,2026,API_2026,10
2026-04-18,686218,Emmet Sheehan,,Colorado Rockies,5.0,4,77,2026,API_2026,10
2026-04-24,686218,Emmet Sheehan,,Chicago Cubs,6.1,10,101,2026,API_2026,10
2026-05-01,686218,Emmet Sheehan,,St. Louis Cardinals,4.2,8,97,2026,API_2026,10
2026-05-08,686218,Emmet Sheehan,,Atlanta Braves,4.2,7,88,2026,API_2026,10
2026-05-14,686218,Emmet Sheehan,,San Francisco Giants,6.0,6,97,2026,API_2026,10
2026-05-19,686218,Emmet Sheehan,,San Diego Padres,4.0,2,67,2026,API_2026,10
2026-05-25,686218,Emmet Sheehan,,Colorado Rockies,6.0,8,92,2026,API_2026,10
2026-05-27,689818,David Sandlin,,Minnesota Twins,6.0,4,61,2026,API_2026,1
2026-03-30,694738,Landen Roupp,,San Diego Padres,6.0,7,88,2026,API_2026,11
2026-04-04,694738,Landen Roupp,,New York Mets,4.2,7,95,2026,API_2026,11
2026-04-10,694738,Landen Roupp,,Baltimore Orioles,6.0,4,93,2026,API_2026,11
2026-04-16,694738,Landen Roupp,,Cincinnati Reds,6.0,6,87,2026,API_2026,11
